Time      ECG     TEB
2.085     465     13.9269
2.09     481     13.9269
2.095     516     13.9217
2.1     498     13.9304
2.105     459     13.9409
2.11     483     13.9409
2.115     520     13.9427
2.12     500     13.9287
2.125     464     13.9287
2.13     483     13.9146
2.135     515     13.9059
2.14     489     13.9023
2.145     463     13.9146
2.15     508     13.9146
2.155     576     13.9199
2.16     608     13.9059
2.165     648     13.9006
2.17     738     13.9041
2.175     761     13.8954
2.18     668     13.8971
2.185     578     13.9094
2.19     559     13.9146
2.195     552     13.9094
2.2     520     13.9111
2.205     476     13.9146
2.21     494     13.9094
2.215     526     13.9094
2.22     504     13.9059
2.225     467     13.9146
2.23     486     13.9146
2.235     523     13.9181
2.24     499     13.9146
2.245     461     13.9287
2.25     478     13.9322
2.255     519     13.9269
2.26     498     13.9217
2.265     466     13.9357
2.27     481     13.9269
2.275     515     13.9252
2.28     494     13.9357
2.285     460     13.9374
2.29     481     13.9409
2.295     519     13.9304
2.3     502     13.9322
2.305     464     13.9409
2.31     482     13.9287
2.315     521     13.9287
2.32     503     13.9287
2.325     461     13.9409
2.33     486     13.9392
2.335     522     13.9444
2.34     503     13.9427
2.345     468     13.9374
2.35     490     13.9374
2.355     526     13.9287
2.36     512     13.9181
2.365     475     13.9129
2.37     497     13.9129
2.375     534     13.9234
2.38     517     13.9181
2.385     485     13.9269
2.39     511     13.9374
2.395     543     13.9322
2.4     530     13.9287
2.405     501     13.9374
2.41     521     13.9427
2.415     558     13.9409
2.42     545     13.9322
2.425     516     13.9251
2.43     544     13.9287
2.435     585     13.9234
2.44     562     13.9234
2.445     530     13.9287
2.45     550     13.9269
2.455     589     13.9269
2.46     566     13.9269
2.465     526     13.9287
2.47     543     13.9287
2.475     574     13.9287
2.48     544     13.9251
2.485     506     13.9111
2.49     518     13.9129
2.495     546     13.9216
2.5     518     13.9164
2.505     477     13.9392
2.51     495     13.9427
2.515     529     13.9462
2.52     508     13.9409
2.525     476     13.9374
2.53     490     13.9374
2.535     521     13.9304
2.54     506     13.9339
2.545     468     13.9357
2.55     490     13.9339
2.555     521     13.9339
2.56     504     13.9322
2.565     463     13.9199
2.57     486     13.9199
2.575     521     13.9181
2.58     504     13.9269
2.585     465     13.9269
2.59     488     13.9181
2.595     525     13.9269
2.6     498     13.9304
2.605     462     13.9339
2.61     486     13.9164
2.615     524     13.9146
2.62     506     13.9199
2.625     464     13.9199
2.63     488     13.9199
2.635     519     13.9146
2.64     496     13.9146
2.645     463     13.9094
2.65     488     13.9146
2.655     523     13.9059
2.66     502     13.9181
2.665     466     13.9146
2.67     485     13.9111
2.675     520     13.9251
2.68     501     13.9269
2.685     459     13.9216
2.69     479     13.9199
2.695     516     13.9251
2.7     493     13.9181
2.705     460     13.9164
2.71     485     13.9129
2.715     515     13.9059
2.72     494     13.8988
2.725     459     13.9076
2.73     481     13.9129
2.735     517     13.9076
2.74     493     13.9076
2.745     455     13.9059
2.75     477     13.9041
2.755     511     13.9146
2.76     496     13.9059
2.765     461     13.9111
2.77     478     13.9164
2.775     509     13.9023
2.78     490     13.9023
2.785     456     13.8971
2.79     475     13.8971
2.795     507     13.8883
2.8     485     13.8971
2.805     452     13.9164
2.81     474     13.9111
2.815     510     13.8988
2.82     487     13.8936
2.825     456     13.8936
2.83     480     13.8795
2.835     509     13.876
2.84     487     13.876
2.845     453     13.8883
2.85     476     13.8813
2.855     510     13.8901
2.86     488     13.8901
2.865     453     13.876
2.87     475     13.8778
2.875     510     13.8743
2.88     487     13.8795
2.885     449     13.8831
2.89     475     13.8936
2.895     512     13.8918
2.9     489     13.8936
2.905     449     13.8883
2.91     474     13.8866
2.915     510     13.8795
2.92     485     13.8848
2.925     451     13.8848
2.93     483     13.8918
2.935     506     13.8936
2.94     482     13.8936
2.945     450     13.9023
2.95     473     13.9059
2.955     509     13.8971
2.96     484     13.8954
2.965     451     13.9006
2.97     471     13.8954
2.975     506     13.8954
2.98     485     13.9006
2.985     449     13.8971
2.99     469     13.8954
2.995     508     13.8831
3     484     13.8831
3.005     452     13.8883
3.01     476     13.8883
3.015     504     13.8831
3.02     479     13.8848
3.025     446     13.8918
3.03     474     13.8988
3.035     509     13.9041
3.04     480     13.8988
3.045     452     13.8936
3.05     477     13.8883
3.055     514     13.8778
3.06     494     13.8743
3.065     451     13.869
3.07     478     13.869
3.075     515     13.8778
3.08     495     13.8778
3.085     461     13.8743
3.09     477     13.8883
3.095     513     13.8831
3.1     490     13.8883
3.105     448     13.8918
3.11     477     13.8971
3.115     512     13.8831
3.12     486     13.8795
3.125     445     13.8848
3.13     469     13.8795
3.135     503     13.8795
3.14     482     13.8778
3.145     449     13.8831
3.15     469     13.8813
3.155     498     13.8813
3.16     476     13.8761
3.165     442     13.8831
3.17     469     13.8778
3.175     502     13.8708
3.18     479     13.8743
3.185     442     13.8568
3.19     466     13.8585
3.195     504     13.8673
3.2     476     13.8673
3.205     441     13.8848
3.21     463     13.8954
3.215     508     13.9006
3.22     500     13.8866
3.225     498     13.8831
3.23     579     13.8813
3.235     692     13.8848
3.24     726     13.8813
3.245     675     13.8795
3.25     641     13.8813
3.255     618     13.8795
3.26     547     13.8778
3.265     482     13.8743
3.27     487     13.876
3.275     515     13.8778
3.28     485     13.8866
3.285     452     13.8866
3.29     470     13.8936
3.295     502     13.8936
3.3     480     13.9023
3.305     442     13.9059
3.31     469     13.8883
3.315     504     13.8883
3.32     477     13.8971
3.325     443     13.9006
3.33     467     13.8971
3.335     500     13.8954
3.34     476     13.8971
3.345     442     13.8901
3.35     468     13.8848
3.355     505     13.8901
3.36     477     13.8936
3.365     443     13.8954
3.37     468     13.8971
3.375     505     13.9006
3.38     481     13.9111
3.385     442     13.8988
3.39     476     13.9059
3.395     506     13.9006
3.4     480     13.8954
3.405     450     13.8866
3.41     475     13.8901
3.415     509     13.8866
3.42     485     13.8883
3.425     452     13.8971
3.43     484     13.8988
3.435     513     13.8936
3.44     493     13.9006
3.445     464     13.9006
